addresses,coordinates
Singapore 166 Clinic 166 Woodlands St 13  739166,"(1.433768, 103.775455)"
Singapore 18 Clinic & Surgery 101 Towner Road #01-228  322101,"(1.3195739, 103.8611977)"
Singapore 326 Avenue 3 Clinic 326 Serangoon Ave 3 #01-382  550326,"(1.3503829, 103.86899)"
Singapore 338 Family Clinic 338 Ang Mo Kio Ave 1 #01-1615  560338,"(1.3643718, 103.8488631)"
Singapore 6-10 Clinic & Surgery 253 Serangoon Central Dr #01-187  550253,"(1.3543009, 103.8707351)"
Singapore 81 Family Clinic 86 Marine Parade Central #01-670  440086,"(1.3018055, 103.906943)"
Singapore 818 Family Clinic & Surgery 818 Woodlands St 82 #01-421  730818,"(1.4416895, 103.7900977)"
Singapore 888 Plaza Family Clinic 888 Woodlands Drive 50 #01-739  730888,"(1.437797, 103.795364)"
Singapore 911 Family Clinic 289E Bukit Batok St 25 #01-160  654289,"(1.3442526, 103.759219)"
"""Singapore A Clinic For Women Pte Ltd Mount Alvernia Medical Centre Blk D, #08-58, 820 Thomson Road  574623""","(1.3414938, 103.8377954)"
"""Singapore A Company for Women One Orchard Boulevard, #03-05/06 Camden Medical Centre  248649""","(1.3030725, 103.8239363)"
"""Singapore A L Lim Women's Clinic for Women Pte Ltd 339 Thomson Road, #05-05 Thomson Medical Centre  307677""","(1.3414938, 103.8377954)"
Singapore A Life Clinic Pte Ltd 10 Sinaran Drive #11-20/21 Novena Medical Centre  307506,"(1.3207643, 103.8441747)"
"""Singapore A.B. John (ENT) Clinic & Surgery 3 Mount Elizabeth, #15-10 Mount Elizabeth Medical Centre  228510""","(1.3052083, 103.8354081)"
Singapore A.L.L. Medical Centre 8 Sinaran Drive  307470,"(1.320281, 103.844968)"
"""Singapore Abbott Laboratories (S) Pte Ltd 1 Maritime Square, #12-01 HarbourFront Centre  099253""","(1.2645073, 103.8203382)"
"""Singapore Abel Soh Diabetes, Thyroid & Endocrine Clinic  3 Mount Elizabeth Hospital #12-11 ""","(1.3048708, 103.8355041)"
Singapore Abraham's Ear Nose & Throat Surg P/L 290 Orchard Road #11-10 Paragon  238859,"(1.3039263, 103.835591)"
"""Singapore Accord Medical Clinic (AMK) 157, Ang Mo Kio Ave 4  560157""","(1.3751643, 103.8390388)"
